id,gender,birthdate,city,country,registration_date
1,F,1966-10-21,Lyon,FR,2023-08-26
2,F,1974-05-24,Paris,FR,2022-03-31
3,M,1977-12-17,Brussels,BE,2022-01-17
4,F,1999-10-06,London,UK,2023-08-10
5,M,1964-08-08,London,UK,2023-11-04
6,M,1983-12-09,Lyon,FR,2022-07-13
7,M,1985-02-12,Madrid,ES,2022-02-02
8,M,2005-07-01,Brussels,BE,2022-10-02
9,F,1952-08-27,Rome,IT,2022-11-07
10,M,1995-09-10,Brussels,BE,2022-02-11
11,F,2005-09-23,Rome,IT,2022-09-01
12,M,2005-11-19,Paris,FR,2023-07-01
13,F,1951-05-04,Madrid,ES,2022-03-03
14,M,1962-01-18,Lyon,FR,2023-06-10
15,M,1971-09-27,Brussels,BE,2022-07-18
16,M,1985-03-20,Lisbon,PT,2022-07-31
17,M,1990-11-02,Lyon,FR,2022-03-26
18,M,2003-05-18,London,UK,2023-05-03
19,F,1997-11-25,Lyon,FR,2022-05-18
20,F,1953-08-08,Berlin,DE,2022-02-21
21,F,2001-09-28,Lisbon,PT,2022-09-17
22,M,1999-06-16,Brussels,BE,2022-12-07
23,F,1987-09-17,Brussels,BE,2022-07-11
24,F,1995-02-12,Paris,FR,2022-05-28
25,F,2002-07-06,Paris,FR,2022-06-04
26,F,2002-03-12,Paris,FR,2023-01-11
27,F,1979-05-18,Madrid,ES,2023-08-07
28,F,1960-11-27,London,UK,2023-10-22
29,M,1968-05-13,Lyon,FR,2023-05-06
30,F,1961-03-23,Lisbon,PT,2022-02-28
31,M,1976-02-09,Lyon,FR,2023-05-06
32,F,2000-12-20,Rome,IT,2022-03-02
33,F,2003-05-27,Berlin,DE,2022-08-20
34,M,1963-07-20,Lyon,FR,2022-05-18
35,F,1953-03-07,Lisbon,PT,2022-06-18
36,F,1969-08-18,Berlin,DE,2022-11-18
37,F,1988-09-28,Rome,IT,2023-11-10
38,M,1992-04-03,Rome,IT,2022-11-05
39,M,1991-03-11,Rome,IT,2022-06-27
40,F,2004-07-13,London,UK,2022-07-23
